,State Code,ratio
1,AK,2.334358073912674
3,AL,2.0368378399432436
5,AR,2.300388133420089
7,AZ,2.062352954964471
9,CA,2.315202839177656
11,CO,1.934889089639291
13,CT,1.8564913289418266
15,DE,2.4638066122928852
17,FL,1.7072700706187514
19,GA,1.934444543999457
21,HI,2.014785726951229
23,IA,1.9684749453455566
25,ID,1.9953949159773021
27,IL,2.232211212913374
29,IN,1.947898937478735
31,KS,1.6849547678077519
33,KY,1.9238711755033264
35,LA,1.6354975419715816
37,MA,1.8434504898008088
39,MD,1.699206112933207
41,ME,2.1014070476499835
43,MI,1.646965252806021
45,MN,2.8650382936568604
47,MO,2.281795212680137
49,MS,1.8442999576691337
51,MT,2.295586310977808
53,NC,2.0685280461809827
55,ND,2.541242673536758
57,NE,1.848969298252189
59,NH,1.8597357748519112
61,NJ,1.8543126998188462
63,NM,1.7761368109196962
65,NV,2.0759078800715076
67,NY,1.7520755452987857
69,OH,2.192683278538254
71,OK,2.4605647872354988
73,OR,2.2658878775839786
75,PA,2.024100644904405
77,RI,1.9722267195957883
79,SC,1.9947419461279343
81,SD,2.0175747147862415
83,TN,1.9946375075021126
85,TX,1.8250098667085137
87,UT,1.80870566551567
89,VA,1.6082077186118895
91,VT,2.2604982892098273
93,WA,2.5439394108220235
95,WI,1.7356946423847222
97,WV,2.2841821806032687
99,WY,2.271741515462368
